"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-027518-00007-00125-2017","254-27518","2017-01-17 00:00:00","1995-02-22 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 1044 DE 27-12-2016;","1","1","0","0","0",
"52838-254-027520-00010-00125-2015","254-27520","2015-09-21 00:00:00","1995-02-22 00:00:00","2015","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 809 DE 18-09-2015;","1","1","0","0","0",
"52838-254-027520-00011-00125-2016","254-27520","2016-05-24 00:00:00","1995-02-22 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 383 DE 23-05-2016;","1","1","0","0","0",
"52838-254-027520-00012-00125-2019","254-27520","2019-07-18 00:00:00","1995-02-22 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 523 DE 17-07-2019;","1","1","0","0","0",
"52838-254-027535-00006-00901-2019","254-27535","2019-07-15 00:00:00","1995-02-27 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 541 DE 08-07-2019;","0","1","0","0","0",
"52838-254-045330-00006-00125-2019","254-45330","2019-03-28 00:00:00","2011-01-11 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 270 DE 05-02-2019;","1","1","0","0","0",
"52838-254-045330-00007-00901-2019","254-45330","2019-03-28 00:00:00","2011-01-11 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 1119 DE 19-03-2019;","1","1","0","0","0",
"52838-254-050184-00001-00918-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","1",,,"0","918","DIVISIÓN MATERIAL",,,"01-ESCRITURA 1059 DE 28-12-2015;","0","1","1","0","0",
"52838-254-050184-00002-00138-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","2",,,"1","138","DONACIÓN",,,"01-ESCRITURA 1059 DE 28-12-2015;","1","1","0","0","0",
"52838-254-050184-00003-00901-2016","254-50184","2016-02-11 00:00:00","2016-02-23 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","3",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 045 DE 10-02-2016;","0","2","0","0","0",
